epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.951,0.84255,2.23289,1.22412,0.60339,0.58596,0.6261,0.46899,0.86895,2.0022,1.34484,0.000410354,0.000410354,0.000410354
2,376.876,0.90014,1.51445,1.24479,0.71741,0.6727,0.7807,0.51427,1.14319,1.58849,1.63072,0.000806551,0.000806551,0.000806551
3,406.982,0.95198,1.39448,1.26052,0.45768,0.44479,0.36755,0.19198,1.58907,2.54579,2.23302,0.00118212,0.00118212,0.00118212
4,439.797,0.94961,1.34116,1.26632,0.68997,0.60453,0.70703,0.4897,1.20565,1.73764,1.61277,0.00115719,0.00115719,0.00115719
5,473.094,0.95918,1.28862,1.2585,0.80277,0.62056,0.74699,0.52101,1.1161,1.73153,1.50931,0.00112625,0.00112625,0.00112625
6,502.509,0.93472,1.18594,1.24706,0.77084,0.63662,0.76946,0.54588,1.10916,1.68516,1.44197,0.00109531,0.00109531,0.00109531
7,535.298,0.90656,1.09454,1.23598,0.83081,0.73477,0.85161,0.63295,1.16087,1.10862,1.68569,0.00106437,0.00106437,0.00106437
8,568.311,0.8811,1.04853,1.22444,0.81294,0.69869,0.80233,0.56172,1.18494,1.42182,1.56579,0.00103344,0.00103344,0.00103344
9,597.767,0.87565,0.9724,1.20676,0.85752,0.75395,0.84857,0.61501,1.1216,1.0536,1.68555,0.0010025,0.0010025,0.0010025
10,630.847,0.85593,0.95003,1.19754,0.74311,0.75695,0.83669,0.63152,1.04792,1.44379,1.49351,0.000971562,0.000971562,0.000971562
11,662.259,0.81442,0.92011,1.17508,0.86695,0.7795,0.88247,0.65671,1.07175,0.87788,1.52476,0.000940625,0.000940625,0.000940625
12,692.525,0.83067,0.90459,1.19103,0.85848,0.81956,0.8949,0.68203,0.99342,0.81944,1.43908,0.000909688,0.000909688,0.000909688
13,725.389,0.82116,0.85788,1.17093,0.87585,0.80696,0.8895,0.68117,0.88076,0.84375,1.26239,0.00087875,0.00087875,0.00087875
14,755.388,0.80294,0.82708,1.16864,0.8949,0.82561,0.90624,0.71477,0.90939,0.74662,1.31271,0.000847813,0.000847813,0.000847813
15,786.346,0.7902,0.81039,1.15129,0.86812,0.79796,0.89437,0.68315,1.08681,1.02559,1.58207,0.000816875,0.000816875,0.000816875
16,819.621,0.75939,0.76887,1.1441,0.91123,0.83797,0.91403,0.70879,0.9087,0.69506,1.32268,0.000785938,0.000785938,0.000785938
17,848.976,0.75311,0.74248,1.13654,0.91116,0.8124,0.89784,0.703,0.86464,0.68563,1.27152,0.000755,0.000755,0.000755
18,881.466,0.73925,0.73484,1.12598,0.89402,0.8296,0.92449,0.72286,0.84553,0.70084,1.26789,0.000724062,0.000724062,0.000724062
19,913.826,0.72097,0.72208,1.11704,0.88352,0.86022,0.92796,0.73072,0.91259,0.69981,1.24954,0.000693125,0.000693125,0.000693125
20,943.078,0.73119,0.72044,1.1213,0.85853,0.87524,0.91968,0.7161,0.92569,0.72904,1.27925,0.000662188,0.000662188,0.000662188
21,975.34,0.71961,0.70659,1.11521,0.92971,0.84269,0.9332,0.72805,0.94442,0.63088,1.38514,0.00063125,0.00063125,0.00063125
22,1005.78,0.70438,0.6942,1.10528,0.93859,0.82992,0.91958,0.72655,0.77212,0.65001,1.20441,0.000600313,0.000600313,0.000600313
23,1036.77,0.68148,0.6604,1.09918,0.90884,0.8387,0.94492,0.75457,0.88644,0.80859,1.26386,0.000569375,0.000569375,0.000569375
24,1070.38,0.68118,0.64314,1.08508,0.90595,0.84985,0.92974,0.74269,0.91002,0.60835,1.30716,0.000538438,0.000538438,0.000538438
25,1103.14,0.67184,0.61661,1.0862,0.93351,0.87468,0.94559,0.76563,0.77747,0.59738,1.21501,0.0005075,0.0005075,0.0005075
26,1132.85,0.67781,0.62583,1.09448,0.93328,0.88542,0.94029,0.76734,0.7397,0.5353,1.19546,0.000476562,0.000476562,0.000476562
27,1165.59,0.65883,0.60792,1.07885,0.9692,0.86076,0.94638,0.76709,0.76526,0.53728,1.19646,0.000445625,0.000445625,0.000445625
28,1195.84,0.64021,0.58155,1.064,0.94689,0.88394,0.94848,0.7672,0.86939,0.50333,1.26692,0.000414688,0.000414688,0.000414688
29,1227.1,0.6416,0.57791,1.06661,0.92707,0.88452,0.94834,0.78078,0.76451,0.57982,1.19988,0.00038375,0.00038375,0.00038375
30,1260.31,0.63566,0.56025,1.05997,0.92912,0.89497,0.9544,0.79088,0.70849,0.5036,1.12699,0.000352812,0.000352812,0.000352812
31,1292.15,0.55204,0.4784,0.99986,0.93836,0.89288,0.94806,0.77539,0.73061,0.50633,1.18397,0.000321875,0.000321875,0.000321875
32,1322.47,0.52588,0.44562,0.98972,0.95428,0.87807,0.95103,0.78185,0.75538,0.5935,1.20139,0.000290937,0.000290937,0.000290937
33,1355.01,0.5142,0.41471,0.97262,0.9573,0.87703,0.94155,0.75988,0.77215,0.59511,1.21141,0.00026,0.00026,0.00026
34,1383.79,0.50527,0.40392,0.96612,0.95443,0.88944,0.95082,0.77855,0.85305,0.58459,1.29815,0.000229063,0.000229063,0.000229063
35,1415.95,0.49757,0.38752,0.96984,0.9314,0.90272,0.94951,0.78498,0.72168,0.51479,1.24178,0.000198125,0.000198125,0.000198125
36,1446.11,0.49065,0.38099,0.95385,0.95959,0.88347,0.95041,0.79543,0.71573,0.51857,1.23739,0.000167188,0.000167188,0.000167188
37,1477.13,0.48565,0.37493,0.95606,0.95603,0.91102,0.95671,0.79449,0.68718,0.45037,1.15044,0.00013625,0.00013625,0.00013625
38,1508.63,0.47183,0.3639,0.94823,0.94817,0.91286,0.95235,0.79633,0.68279,0.44875,1.13969,0.000105312,0.000105312,0.000105312
39,1537.7,0.47005,0.35669,0.94428,0.95711,0.89936,0.95404,0.79503,0.69868,0.47068,1.14668,7.4375e-05,7.4375e-05,7.4375e-05
40,1570.57,0.44752,0.34277,0.92648,0.96756,0.89734,0.95517,0.79803,0.69807,0.47371,1.16083,4.34375e-05,4.34375e-05,4.34375e-05
